,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
185,92.0,9.0,8.0,10.0,10.0,10.0,8.0
186,88.0,9.0,8.0,9.0,9.0,10.0,9.0
187,100.0,10.0,10.0,10.0,10.0,10.0,9.0
188,94.0,10.0,10.0,10.0,10.0,9.0,9.0
189,96.0,9.0,10.0,10.0,10.0,10.0,9.0
190,97.0,10.0,10.0,10.0,10.0,10.0,10.0
191,96.0,10.0,10.0,10.0,10.0,10.0,10.0
192,99.0,10.0,10.0,10.0,10.0,10.0,10.0
193,91.0,9.0,9.0,9.0,9.0,8.0,8.0
194,80.0,9.0,9.0,9.0,9.0,9.0,9.0
195,93.0,10.0,9.0,10.0,10.0,10.0,9.0
196,94.0,10.0,9.0,10.0,10.0,9.0,10.0
197,100.0,10.0,10.0,10.0,10.0,10.0,10.0
198,93.0,9.0,9.0,10.0,10.0,10.0,9.0
199,96.0,10.0,10.0,10.0,10.0,10.0,10.0
200,91.0,10.0,9.0,10.0,10.0,9.0,9.0
201,98.0,10.0,10.0,10.0,10.0,10.0,10.0
202,100.0,10.0,10.0,10.0,10.0,10.0,10.0
203,92.0,9.0,9.0,9.0,10.0,10.0,9.0
204,97.0,10.0,10.0,10.0,10.0,10.0,9.0
205,73.0,9.0,8.0,9.0,9.0,9.0,9.0
206,92.0,9.0,9.0,10.0,10.0,9.0,9.0
207,80.0,8.0,8.0,10.0,10.0,10.0,8.0
208,87.0,8.0,10.0,9.0,8.0,10.0,8.0
210,100.0,10.0,10.0,10.0,10.0,10.0,10.0
211,97.0,10.0,10.0,10.0,10.0,10.0,10.0
212,89.0,9.0,9.0,10.0,10.0,9.0,9.0
213,100.0,9.0,9.0,9.0,10.0,10.0,9.0
214,100.0,10.0,10.0,10.0,10.0,9.0,9.0
215,94.0,9.0,10.0,9.0,10.0,9.0,10.0
216,99.0,10.0,9.0,10.0,10.0,10.0,10.0
217,99.0,10.0,10.0,10.0,10.0,10.0,10.0
218,100.0,10.0,10.0,10.0,10.0,10.0,10.0
219,96.0,10.0,9.0,10.0,10.0,9.0,9.0
220,96.0,10.0,9.0,10.0,10.0,10.0,10.0
221,94.0,10.0,9.0,10.0,10.0,10.0,9.0
223,93.0,10.0,9.0,10.0,9.0,10.0,10.0
224,90.0,9.0,10.0,10.0,10.0,10.0,9.0
225,86.0,9.0,9.0,10.0,10.0,9.0,9.0
226,89.0,9.0,9.0,9.0,9.0,10.0,9.0
227,84.0,10.0,8.0,10.0,10.0,10.0,8.0
229,92.0,10.0,9.0,9.0,10.0,10.0,9.0
230,93.0,10.0,8.0,10.0,10.0,10.0,9.0
231,100.0,9.0,8.0,10.0,10.0,10.0,10.0
232,93.0,9.0,9.0,8.0,10.0,10.0,9.0
233,95.0,10.0,9.0,10.0,10.0,10.0,9.0
234,96.0,10.0,10.0,10.0,10.0,10.0,9.0
235,91.0,9.0,8.0,9.0,9.0,9.0,9.0
236,96.0,10.0,9.0,10.0,10.0,10.0,10.0
237,100.0,9.0,10.0,10.0,10.0,10.0,8.0
238,97.0,10.0,9.0,10.0,10.0,10.0,9.0
239,90.0,8.0,9.0,9.0,9.0,10.0,8.0
240,98.0,10.0,10.0,10.0,10.0,10.0,9.0
241,80.0,7.0,9.0,9.0,10.0,10.0,6.0
242,100.0,10.0,9.0,10.0,10.0,10.0,9.0
243,95.0,10.0,10.0,10.0,10.0,9.0,9.0
244,91.0,9.0,9.0,10.0,10.0,9.0,9.0
246,100.0,10.0,10.0,10.0,10.0,10.0,10.0
247,95.0,9.0,9.0,10.0,9.0,10.0,9.0
248,95.0,10.0,10.0,10.0,10.0,10.0,10.0
249,98.0,10.0,10.0,10.0,10.0,10.0,9.0
250,97.0,10.0,10.0,10.0,10.0,10.0,10.0
252,93.0,9.0,8.0,9.0,10.0,10.0,9.0
253,93.0,10.0,9.0,10.0,10.0,10.0,9.0
254,94.0,9.0,9.0,10.0,10.0,10.0,9.0
255,96.0,10.0,10.0,10.0,10.0,10.0,10.0
257,86.0,9.0,9.0,10.0,10.0,10.0,9.0
258,90.0,9.0,8.0,9.0,10.0,10.0,9.0
259,93.0,9.0,8.0,10.0,10.0,10.0,9.0
260,90.0,9.0,9.0,9.0,10.0,9.0,9.0
261,92.0,9.0,9.0,10.0,10.0,10.0,9.0
262,96.0,10.0,10.0,10.0,10.0,10.0,10.0
263,80.0,9.0,8.0,9.0,10.0,10.0,9.0
264,97.0,10.0,10.0,10.0,10.0,9.0,10.0
265,100.0,10.0,10.0,10.0,10.0,10.0,10.0
266,91.0,9.0,9.0,10.0,10.0,10.0,9.0
267,83.0,8.0,8.0,9.0,9.0,9.0,8.0
268,100.0,10.0,10.0,10.0,10.0,10.0,10.0
269,96.0,10.0,10.0,10.0,10.0,10.0,10.0
270,93.0,10.0,9.0,9.0,10.0,9.0,9.0
271,86.0,9.0,9.0,9.0,9.0,10.0,9.0
272,100.0,10.0,10.0,10.0,10.0,10.0,10.0
273,94.0,10.0,9.0,10.0,10.0,10.0,10.0
274,86.0,9.0,8.0,10.0,10.0,10.0,9.0
276,95.0,9.0,9.0,10.0,10.0,9.0,9.0
277,94.0,10.0,9.0,9.0,10.0,10.0,9.0
278,100.0,10.0,10.0,10.0,10.0,10.0,10.0
279,94.0,9.0,9.0,10.0,10.0,10.0,9.0
280,100.0,10.0,9.0,10.0,10.0,10.0,10.0
282,94.0,9.0,9.0,10.0,10.0,10.0,10.0
283,93.0,10.0,10.0,10.0,10.0,10.0,9.0
284,96.0,9.0,9.0,10.0,10.0,10.0,9.0
286,93.0,9.0,9.0,10.0,10.0,10.0,9.0
287,93.0,9.0,9.0,10.0,10.0,9.0,9.0
288,95.0,9.0,8.0,10.0,9.0,10.0,8.0
289,93.0,9.0,10.0,10.0,10.0,9.0,9.0
290,96.0,10.0,9.0,10.0,10.0,10.0,9.0
292,98.0,10.0,10.0,10.0,10.0,10.0,10.0
293,89.0,9.0,10.0,9.0,9.0,9.0,9.0
294,89.0,9.0,9.0,9.0,9.0,10.0,9.0
295,88.0,10.0,9.0,9.0,10.0,10.0,9.0
296,100.0,10.0,9.0,10.0,10.0,10.0,10.0
297,87.0,9.0,9.0,10.0,9.0,9.0,9.0
298,99.0,10.0,9.0,10.0,10.0,10.0,9.0
299,97.0,10.0,10.0,10.0,10.0,9.0,9.0
300,100.0,10.0,10.0,10.0,10.0,10.0,10.0
302,95.0,9.0,9.0,10.0,10.0,10.0,10.0
303,86.0,9.0,9.0,10.0,9.0,9.0,9.0
304,100.0,10.0,9.0,10.0,10.0,10.0,10.0
306,90.0,10.0,8.0,10.0,10.0,10.0,9.0
307,93.0,10.0,9.0,10.0,10.0,10.0,9.0
308,92.0,9.0,9.0,10.0,10.0,10.0,9.0
309,93.0,10.0,9.0,10.0,10.0,9.0,10.0
311,100.0,10.0,10.0,10.0,10.0,10.0,10.0
312,95.0,10.0,9.0,10.0,10.0,10.0,9.0
313,96.0,10.0,10.0,10.0,10.0,9.0,9.0
314,60.0,6.0,6.0,8.0,10.0,8.0,8.0
315,98.0,10.0,10.0,10.0,10.0,10.0,10.0
316,89.0,10.0,9.0,10.0,10.0,9.0,9.0
317,86.0,9.0,9.0,9.0,10.0,10.0,9.0
318,98.0,10.0,9.0,10.0,10.0,10.0,10.0
319,94.0,9.0,9.0,10.0,10.0,10.0,10.0
320,96.0,10.0,10.0,10.0,10.0,10.0,9.0
321,79.0,8.0,8.0,9.0,7.0,8.0,7.0
322,96.0,9.0,9.0,10.0,10.0,10.0,9.0
323,90.0,9.0,7.0,9.0,9.0,9.0,7.0
324,76.0,9.0,7.0,9.0,9.0,9.0,9.0
325,100.0,10.0,8.0,10.0,10.0,10.0,8.0
326,96.0,10.0,9.0,10.0,10.0,10.0,10.0
327,91.0,9.0,9.0,9.0,9.0,10.0,9.0
328,95.0,10.0,10.0,10.0,10.0,9.0,9.0
329,97.0,10.0,9.0,10.0,10.0,10.0,10.0
330,94.0,10.0,10.0,10.0,10.0,10.0,9.0
332,88.0,9.0,8.0,9.0,9.0,10.0,9.0
333,99.0,10.0,10.0,10.0,10.0,10.0,10.0
334,93.0,10.0,9.0,9.0,10.0,9.0,9.0
335,93.0,9.0,9.0,10.0,10.0,9.0,9.0
336,97.0,10.0,9.0,10.0,10.0,10.0,10.0
337,97.0,10.0,10.0,10.0,10.0,10.0,9.0
338,94.0,10.0,10.0,10.0,10.0,10.0,10.0
339,98.0,10.0,10.0,10.0,10.0,10.0,10.0
